Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Acer saccharum,0.083,Med,Heterospecific,14.7,-0.03,13.97,12.54,1,NA,NA
Acer saccharum,0.079,Med,Sterilized,12,-0.05,11.92,11.73,0,X,NA
Prunus serotina,0.083,Med,Heterospecific,29.89,0.37,9.21,11.48,1,NA,NA
Quercus alba,0.079,Med,Heterospecific,0,4.97,25.04,15.64,0,X,NA
Quercus alba,0.079,Med,Conspecific,26,4.92,23.34,16.81,0,X,NA
Quercus rubra,0.097,Med,Conspecific,21.42,3.67,26.32,14.7,0,NA,X
Quercus alba,0.083,Med,Heterospecific,22.69,5.07,20.06,20.32,0,NA,X
Quercus alba,0.083,Med,Conspecific,11.48,5.02,23.06,16.79,1,NA,NA
Quercus rubra,0.097,Med,Heterospecific,18.91,3.76,20.89,17.96,0,NA,X
Quercus rubra,0.097,Med,Heterospecific,28.86,3.82,26.8,14.74,1,NA,NA
Quercus alba,0.083,Med,Heterospecific,18.38,4.88,18.46,22.01,0,NA,X
Prunus serotina,0.083,Med,Heterospecific,29.89,0.37,9.21,11.48,1,NA,NA
Prunus serotina,0.078,Med,Heterospecific,31.87,0.35,7.92,11.1,1,NA,NA
Quercus alba,0.079,Med,Heterospecific,18,3.5,24.44,12.56,0,X,NA
Acer saccharum,0.079,Med,Sterilized,7,-0.18,13.3,12.34,0,X,NA
Prunus serotina,0.083,Med,Heterospecific,29.89,0.37,9.21,11.48,1,NA,NA
Quercus alba,0.097,Med,Heterospecific,27.93,4.97,19.41,20.57,0,NA,X
Prunus serotina,0.078,Med,Conspecific,34.76,0.46,8.54,11.6,1,NA,NA
Acer saccharum,0.078,Med,Heterospecific,15.86,-0.2,13.81,11.98,1,NA,NA
Quercus alba,0.083,Med,Sterilized,1.11,2.98,18.78,19.02,0,NA,X
Quercus alba,0.079,Med,Heterospecific,5,4.44,13.63,22.3,0,X,NA
Quercus alba,0.097,Med,Heterospecific,15.66,5.23,21.28,18.19,1,NA,NA
Acer saccharum,0.079,Med,Sterilized,5,-0.1,9.4,9.46,0,X,NA
Acer saccharum,0.078,Med,Conspecific,20.04,0.26,14.45,11.93,1,NA,NA
Prunus serotina,0.079,Med,Heterospecific,35.48,0.4,7.81,11.26,1,NA,NA
Acer saccharum,0.079,Med,Heterospecific,15.54,-0.19,13.75,11.94,1,NA,NA
Prunus serotina,0.079,Med,Heterospecific,25.54,0.66,9.22,11.87,1,NA,NA
Quercus alba,0.079,Med,Heterospecific,13,3.49,26.57,8.32,0,X,NA
Quercus alba,0.079,Med,Heterospecific,21,4.97,18.29,22.22,0,X,NA
Acer saccharum,0.078,Med,Heterospecific,22.59,-0.72,14.06,12.18,1,NA,NA
Quercus rubra,0.097,Med,Heterospecific,22.17,3.55,26.7,14.45,0,NA,X
Quercus rubra,0.079,Med,Sterilized,0,3.23,24.96,13.41,0,X,NA
Quercus alba,0.079,Med,Heterospecific,12,4.76,23.42,16.15,0,X,NA
Prunus serotina,0.078,Med,Heterospecific,25.41,0.65,9.28,11.93,1,NA,NA
